"index","image","produto","loja","reviews rating number","reviews amount","source","data_coleta","price"
0,https://http2.mlstatic.com/D_NQ_NP_956003-MLU74996849449_032024-W.webp,Arandela Alumínio 5 Vidros Com 45 Cm Para 2x Lâmpadas E27 Cor Preto,nao_informado,"4.9",20,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",128.85
1,https://http2.mlstatic.com/D_NQ_NP_653196-MLU75210004232_032024-W.webp,Trilho Eletrificado Preto 1m + 4 Spots 7w Qualidade Cor Preto Quente,nao_informado,"4.8",64,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",64.22
2,https://http2.mlstatic.com/D_NQ_NP_883562-MLU74126713025_012024-W.webp,Arandela Eclipse Luz Indireta 12w 3000k Ip65 Led Integrado Cor Preto 110V/220V,nao_informado,"4.7",46,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",63.01
3,https://http2.mlstatic.com/D_NQ_NP_906070-MLU71779339548_092023-W.webp,Arandela Slim 2 Frisos 2 Focos 12x12x4 Cm Externa Cor Preto 110V/220V,por Forteled,"4.6",422,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",25.19
4,https://http2.mlstatic.com/D_NQ_NP_732091-MLU73486025152_122023-W.webp,Arandela Mini Slim Moderna Efeito Interna Externa Mf143 Preto,por Forteled,"4.5",104,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",25.19
5,https://http2.mlstatic.com/D_NQ_NP_936518-MLU71832564943_092023-W.webp,Arandelas Slim Externa Alumínio 2 Frisos 2 Fachos Mf103 Cor Branco 110V/220V,por Forteled,"4.6",422,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",25.19
6,https://http2.mlstatic.com/D_NQ_NP_941396-MLU75468292268_042024-W.webp,Arandela Alumínio 2 Focos Externa Interna + Lâmpada 5w 3000k quente Inclusa 6205,nao_informado,"4.6",177,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",38.06
7,https://http2.mlstatic.com/D_NQ_NP_813826-MLU73552074839_122023-W.webp,Luminária Arandela Tartaruga Externa Grade e-27 Preto 110V/220V,nao_informado,"4.5",746,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",19.39
8,https://http2.mlstatic.com/D_NQ_NP_741698-MLU73410060620_122023-W.webp,Arandela Externa Led Facho Duplo Ajustável 5w Ip66 Luz 3000k Cor Preto,nao_informado,"4.8",64,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",39.8
9,https://http2.mlstatic.com/D_NQ_NP_941127-MLB74757128865_022024-W.webp,Arandela De Parede Pendente Luminária Aramado Diamante Preto,nao_informado,"4.7",322,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",29.9
10,https://http2.mlstatic.com/D_NQ_NP_700734-MLB70299993541_072023-W.webp,"10 Balizador Led Slim 3000k 4w Bivolt Parede Escada Muro",nao_informado,"4.4",25,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",199.17
11,https://http2.mlstatic.com/D_NQ_NP_865191-MLB54813235478_042023-W.webp,"4x Arandela Externa 2 Focos Friso Parede Muro + Led Incluso",por DAZ Iluminacao,"4.7",51,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",149.99
12,https://http2.mlstatic.com/D_NQ_NP_833578-MLB71069644589_082023-W.webp, Arandela De Parede Externa E Interna Para Muro E Parede,nao_informado,"4.3",759,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",24.99
13,https://http2.mlstatic.com/D_NQ_NP_617581-MLB41069867710_032020-W.webp,Kit 10 Luminária Arandela Tartaruga Externa Com Grade OPL Cor Preto 110v/220v,nao_informado,"4.5",746,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",71.9
14,https://http2.mlstatic.com/D_NQ_NP_662383-MLU71779339570_092023-W.webp,Arandela Slim 2 Fachos 2 Frisos Externo Muro Parede Mf103 Cor Marrom 110V/220V,por Forteled,"4.6",422,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",25.19
15,https://http2.mlstatic.com/D_NQ_NP_954245-MLU71900818222_092023-W.webp,Arandela Externa Eco 3 Frisos E 2 Focos Alumínio Parede Muro Preto Para Lâmpada Comum Soquete E27 Mf130,por WS Distribuidora,"4.8",220,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",38.74
16,https://http2.mlstatic.com/D_NQ_NP_652944-MLB49015308712_022022-W.webp,Arandela Externa Colonial Vintage Retro Quadrada Preto 336 127V/220V,nao_informado,"4.5",591,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",60.87
17,https://http2.mlstatic.com/D_NQ_NP_717259-MLU74098845889_012024-W.webp,Arandela Externa 2 Focos E Frisos Parede Muro + Led Incluso Cor Preto Led Quente,por DAZ Iluminacao,"4.8",201,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",44.99
18,https://http2.mlstatic.com/D_NQ_NP_833301-MLB76647742829_052024-W.webp,Arandela Ext Led Facho Duplo Ajustável 5w Ip66 Luz 3000k Pto,nao_informado,"4.6",44,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",65.9
19,https://http2.mlstatic.com/D_NQ_NP_760450-MLB74299008074_022024-W.webp,Arandela Triangulo 2 Vidros Em Alumínio- Soquete E27,nao_informado,"4.5",18,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",61.33
20,https://http2.mlstatic.com/D_NQ_NP_639121-MLB75340620269_032024-W.webp,Kit 10 Arandela Led Tartaruga Bivolt 15w Branco Frio,nao_informado,"4.8",22,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",113.8
21,https://http2.mlstatic.com/D_NQ_NP_993912-MLU73467799544_122023-W.webp,"4x Arandela Solar 2 Focos Parede Slim 10 Fachos Led Externa Cor Branco Quente 10 LED",por GoldenSky,"3.9",284,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",78.99
22,https://http2.mlstatic.com/D_NQ_NP_637064-MLU72362058511_102023-W.webp,Arandela 2 Focos E 2 Frisos Externa Parede Muro MF115 Cor Preto,por Forteled,"4.6",234,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",27.49
23,https://http2.mlstatic.com/D_NQ_NP_939110-MLB52113764902_102022-W.webp,Arandela Led Tartaruga Phare 24w Ilum Externa À Prova D'água Cor Branco,nao_informado,"4.7",385,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",31.12
24,https://http2.mlstatic.com/D_NQ_NP_640247-MLU74193758973_012024-W.webp,"10x Arandela Parede Externa Mini Slim 2 Frisos G9 MF143",por WS Distribuidora,"4.5",104,https://lista.mercadolivre.com.br/luminarias-arandelas-externas,"2024-06-13 22:12:12.124779",204.74
