"index","image","produto","loja","reviews rating number","reviews amount","source","data_coleta","price"
22,https://http2.mlstatic.com/D_NQ_NP_813429-MLB52348102496_112022-W.webp,"9 Arandela Preta Massuia Externa E Interna Bivolt Cor Preto 110V/220V",nao_informado,"4.6",246,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",230.2
23,https://http2.mlstatic.com/D_NQ_NP_854257-MLU73460107730_122023-W.webp,Kit 5 Luminária Solar 100 Led Com Sensor Jardim Prova D'água Cor Preto,nao_informado,"4.2",2809,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",86.37
24,https://http2.mlstatic.com/D_NQ_NP_776070-MLU73552923215_122023-W.webp,Luminária Arandela Colonial Externa Quadrada Preta Cor Preto 110V/220V (Bivolt),nao_informado,"4.8",160,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",56.57
25,https://http2.mlstatic.com/D_NQ_NP_609411-MLB75016903670_032024-W.webp,Pendente Quadrado Rustico Lustre Junco Bivolt,nao_informado,,0,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",52.9
26,https://http2.mlstatic.com/D_NQ_NP_736444-MLU73558847785_122023-W.webp,"6 Arandela Massuia Externa E Interna 6 Lâmpada Led 5w Cor Branco",nao_informado,"4.5",160,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",220.4
27,https://http2.mlstatic.com/D_NQ_NP_930555-MLB52240130477_112022-W.webp,Arandela Para Tempo 100 W Perfeita Áreas Externas E Paredes,nao_informado,"4.5",164,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",29.9
28,https://http2.mlstatic.com/D_NQ_NP_769527-MLB75675871052_042024-W.webp,Luminária Luz Solar Spot Super Led Grama Jardim Promoção,nao_informado,"3.8",4121,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",64.8
29,https://http2.mlstatic.com/D_NQ_NP_704577-MLB77069276069_062024-W.webp,"8x Luminária Balizador Fit Slim Ip65 Led 2w Para Parede Escada Muro Caixa 4x2 P/ Area Externa E Interna St1337",por Starlumen,,0,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",456.91
30,https://http2.mlstatic.com/D_NQ_NP_826834-MLB31133430015_062019-W.webp,Pendente Retangular Externo Interno 4 Vidros Em Alumínio,nao_informado,"4.8",116,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",78.8
31,https://http2.mlstatic.com/D_NQ_NP_988865-MLB76478686326_052024-W.webp,Arandela Meia Lua Led Pto 3 Focos 6w Luz 3000k Ip66 Bivolt,nao_informado,"3.8",11,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",45.9
32,https://http2.mlstatic.com/D_NQ_NP_838265-MLU74726700070_032024-W.webp,"Pendente Corda 1,8m Retro Vintage Design Rustico E27 ",nao_informado,"4.7",87,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",34.3
33,https://http2.mlstatic.com/D_NQ_NP_803672-MLB49612807550_042022-W.webp,Arandela Colonial Luminária De Parede Taschibra Tlf 27 1xe27,nao_informado,"4.9",81,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",149.97
34,https://http2.mlstatic.com/D_NQ_NP_859671-MLU75568751188_042024-W.webp,Lustre De Madeira Luminaria Rustico Pendente Roda De Carroça M 57cm,nao_informado,,0,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",333.7
35,https://http2.mlstatic.com/D_NQ_NP_674417-MLB48419523135_122021-W.webp,Arandela Focus Slim Gaya Potência 5w Bivolt 9773 Branca  Cor Branco 110V/220V,nao_informado,,0,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",52.9
36,https://http2.mlstatic.com/D_NQ_NP_811557-MLB52370185047_112022-W.webp,Luminária Arandela Led Kian 12820 Ip65 3w 3000k Preta Cor Preto,nao_informado,"4.8",8,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",49.99
37,https://http2.mlstatic.com/D_NQ_NP_695743-MLU73438772682_122023-W.webp,Kit 02 Luminária Solar Espeto Para Jardim 10 Lumens Ecoforce Cor Preto na,nao_informado,"4.1",205,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",97.7
38,https://http2.mlstatic.com/D_NQ_NP_868894-MLB69984234247_062023-W.webp,Arandela Luminária Parede Madeira Retrô Rústica Vintage E27 ,nao_informado,"4.4",49,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",38.5
39,https://http2.mlstatic.com/D_NQ_NP_744647-MLB52817928268_122022-W.webp,Arandela Externa Plafon Led Blindado Redondo Muro Casa 20w Cor Branco Frio 110V/220V,nao_informado,"4.2",5,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",69.9
40,https://http2.mlstatic.com/D_NQ_NP_873583-MLU73475476450_122023-W.webp,Arandela P/ Tempo 100 W Perfeita P/ Áreas Externas E Paredes Cor Prateado 110V/220V,nao_informado,"4.4",36,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",29.9
41,https://http2.mlstatic.com/D_NQ_NP_710351-MLU75472615413_032024-W.webp,Luminária Rustica Roda De Carroça Pendente Lustre De Teto Grande,nao_informado,"4.4",187,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",379.9
42,https://http2.mlstatic.com/D_NQ_NP_662188-MLB75469222470_042024-W.webp,Balizador Mini Neu 4un Branco 3000k Ip65 Área Externa Oferta,nao_informado,,0,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",262.66
43,https://http2.mlstatic.com/D_NQ_NP_961721-MLB71502381187_092023-W.webp,"4 Pendente Luminaria Area Gourmet De Churrasco Rustico Mdf ",nao_informado,"4.0",55,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",98.9
44,https://http2.mlstatic.com/D_NQ_NP_983377-MLU74333949099_012024-W.webp,Arandela Industrial Vintage Nordic Loft Retro Preto Bronze 110V/220V,nao_informado,"4.7",21,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",55.14
45,https://http2.mlstatic.com/D_NQ_NP_726040-MLU75226580113_032024-W.webp,Kit 6 Luminária Espeto Solar Jardim Externa Led Multicor Rgb,nao_informado,"4.7",103,https://lista.mercadolivre.com.br/luminarias-area-externa,"2024-06-18 23:47:19.866443",116.99
